あきよし	あきよし
いさお	いさお
かいと	かいと
かずえ	かずえ
きよしげ	きよしげ
しおん	しおん
じゅり	じゅり
そら	そら
たいぞう	たいぞう
たつき	たつき
たまき	たまき
つぐお	つぐお
てるや	てるや
ひさとし	ひさとし
まこと	まこと
まさとし	まさとし
みちよ	みちよ
ミチル	みちる
むねひさ	むねひさ
れい	れい
一	はじめ
一	まこと
一三	いちぞう
一平	いっぺい
一弘	かずひろ
一征	いっせい
一朗	いちろう
一樹	かずき
一男	かずお
一穂	かずほ
一誠	いっせい
一輝	いつき
一輝	かずてる
一雄	かずお
三省	みつみ
三行	みゆき
三郎右衛門	さぶろうえもん
丙二	へいじ
中	ただし
乙治郎	おとじろう
亀次郎	かめじろう
亘	こう
亨	あきら
亮	あきら
亮	まこと
亮	りょう
亮一	りょういち
亮太	りょうた
亮太郎	りょうたろう
仁	ひろし
伊三夫	いさお
伊佐夫	いさお
伊佐男	いさお
伝	ただし
伸吾	しんご
佑太	ゆうた
佑太	ユウタ
佳太	けいた
佳孝	よしたか
侃	ただし
俊典	としのり
俊宏	としひろ
俊浩	としひろ
俊秀	としひで
信	まこと
信彦	のぶひこ
信政	のぶまさ
信昌	のぶまさ
信正	のぶまさ
信治	のぶはる
信長	のぶなが
信雄	のぶお
修	おさむ
修	しゅう
修一	しゅういち
修平	しゅうへい
修志	しゅうじ
健大	けんた
優司	ゆうじ
優大	ゆうだい
優斗	ゆうと
優樹	ゆうき
優汰	ゆうた
優汰	ユウタ
允	まこと
元	げん
元	はじめ
元信	もとのぶ
元哉	もとや
元太郎	もとたろう
光	あきら
光	こう
光	ひかる
光二	こうじ
光司	こうじ
光希	こうき
光治	こうじ
光治良	こうじろう
光男	みつお
克	ただし
克彦	かつひこ
克成	かつなり
克英	かつひで
全	あきら
八左衛門	はちざえもん
公	あきら
公	いさお
公	こう
公	ただし
公義	ただし
兵次	へいじ
兵治	へいじ
凌	りょう
凞	ひろし
初太郎	はつたろう
初夫	はつお
初男	はつお
